dateprd,npd_well_bore_name,bore_oil_vol,bore_gas_vol,bore_wat_vol,avg_downhole_pressure,avg_choke_size_p,flow_kind,water_cut,total_liquid,gor
2014-04-07,15/9-F-1 C,0.0,0.0,0.0,0.0,0.0,production,,0.0,
2014-04-08,15/9-F-1 C,0.0,0.0,0.0,0.0,1.00306,production,,0.0,
2014-04-09,15/9-F-1 C,0.0,0.0,0.0,0.0,0.97901,production,,0.0,
2014-04-10,15/9-F-1 C,0.0,0.0,0.0,0.0,0.54576,production,,0.0,
2014-04-11,15/9-F-1 C,0.0,0.0,0.0,310.376,1.21599,production,,0.0,
2014-04-12,15/9-F-1 C,0.0,0.0,0.0,303.501,3.08702,production,,0.0,
2014-04-13,15/9-F-1 C,0.0,0.0,0.0,303.535,1.96237,production,,0.0,
2014-04-14,15/9-F-1 C,0.0,0.0,0.0,303.782,0.0,production,,0.0,
2014-04-15,15/9-F-1 C,0.0,0.0,0.0,303.858,31.14186,production,,0.0,
2014-04-16,15/9-F-1 C,0.0,0.0,0.0,303.792,0.0,production,,0.0,
2014-04-17,15/9-F-1 C,0.0,0.0,0.0,304.335,41.23599,production,,0.0,
2014-04-18,15/9-F-1 C,0.0,0.0,0.0,304.849,0.0,production,,0.0,
2014-04-19,15/9-F-1 C,0.0,0.0,0.0,305.371,0.43686,production,,0.0,
2014-04-20,15/9-F-1 C,0.0,0.0,0.0,313.871,0.45428,production,,0.0,
2014-04-21,15/9-F-1 C,0.0,0.0,0.0,301.376,20.98975,production,,0.0,
2014-04-22,15/9-F-1 C,631.0,90439.0,0.0,289.421,43.34345,production,0.0,631.0,143.32646592709983
2014-04-23,15/9-F-1 C,1166.0,165720.0,0.0,270.24,47.16752,production,0.0,1166.0,142.12692967409947
2014-04-24,15/9-F-1 C,1550.0,221707.0,0.0,262.843,47.73231,production,0.0,1550.0,143.03677419354838
2014-04-25,15/9-F-1 C,1249.0,178064.0,0.0,255.527,48.53377,production,0.0,1249.0,142.5652522017614
2014-04-26,15/9-F-1 C,1346.0,192602.0,0.0,247.199,49.8445,production,0.0,1346.0,143.09212481426448
2014-04-27,15/9-F-1 C,1350.0,194496.0,0.0,240.736,50.29698,production,0.0,1350.0,144.07111111111112
2014-04-28,15/9-F-1 C,1346.0,192900.0,0.0,235.021,50.73588,production,0.0,1346.0,143.31352154531947
2014-04-29,15/9-F-1 C,1279.0,184900.0,0.0,232.744,50.11392,production,0.0,1279.0,144.5660672400313
2014-04-30,15/9-F-1 C,1226.0,177108.0,0.0,233.298,48.92679,production,0.0,1226.0,144.46003262642742
2014-05-01,15/9-F-1 C,1213.0,174609.0,0.0,231.089,48.93863,production,0.0,1213.0,143.94806265457544
2014-05-02,15/9-F-1 C,1074.0,154871.0,0.0,231.419,48.3037,production,0.0,1074.0,144.2001862197393
2014-05-03,15/9-F-1 C,1044.0,147930.0,0.0,230.766,48.1735,production,0.0,1044.0,141.69540229885058
2014-05-04,15/9-F-1 C,970.0,139378.0,0.0,230.596,47.46609,production,0.0,970.0,143.68865979381442
2014-05-05,15/9-F-1 C,946.0,136980.0,0.0,229.424,47.84002,production,0.0,946.0,144.79915433403806
2014-05-06,15/9-F-1 C,1003.0,144950.0,0.0,225.902,49.00558,production,0.0,1003.0,144.51645064805584
